text,label,timestamp
I forgot all about Ice Cube being in the movie First Sunday. I think I seen this shit in the theaters.,negative,2025-01-01 00:00:00
playoffs are finally set. Chardon plays warren howland in the 1st round. if we win\u002c we play the winner of kenston v. tallmadge.,neutral,2025-01-01 00:00:00
Are we just going to ignore the fact that Ice Cube got his ass whoop by Ricky Smiley at the beginning of Friday After Next???,neutral,2025-01-01 00:00:00
If you live in the South Orlando area\u002c be on the lookout. @user has its 6th site opening on October 30th near the Florida Mall!,neutral,2025-01-01 01:00:00
First record of Colin Baker at the BBC: BBC2 serial The Roads to Freedom. Part 5 - shown 1 Nov 1970. #DoctorWho,neutral,2025-01-01 01:00:00
Tomorrow night I'll be at Citi Field with the Zac Brown Band.  Anyone want to hook up a meet and greet for your...,positive,2025-01-01 01:00:00
"""Frank Gifford died Sunday AM in his CT home. Family: """"We rejoice in the extraordinary life he was privileged to live...""""""",positive,2025-01-01 02:00:00
People talkin shit just wait I\u2019ll be in Huntsville tomorrow !! Let me see you !!,negative,2025-01-01 02:00:00
Intrigued by the mentions of alternate realities in this review of David Bowie's Lazarus:,neutral,2025-01-01 02:00:00
"""Gandhi:There may be violence, but then again the landlords may cooperate Fischer:You are an optimist Gandhi:They might cooperate by fleeing""",neutral,2025-01-01 03:00:00
Michelle's supposed to be picking me up for moes Monday and I call to see where she is and she said she stopped at dunkin for a donut,neutral,2025-01-01 03:00:00
I think my mom might buy me the box set bc i\u2019ve been bugging her about MSG and i told her i\u2019d give her $30 if she got it before november 14,neutral,2025-01-01 03:00:00
@user WOW that is some Real hallucinogenic shit U R smokin' der MAN! Careful it may cause U2 kill yourself &amp; not jst fry yur brain,neutral,2025-01-01 04:00:00
"""In interviews Tom Brady has gone back to being nice-guy, aw-shucks Tom - nothing negative about Goodell. Thurs nite: Psycho Tom returns.""",positive,2025-01-01 04:00:00
Guys i just want to go to Justin Biebers concert on November 4th why is @user doing this to me,negative,2025-01-01 05:00:00
"""Happy 2nd Birthday, Prince George! See How Much He's Grown with These 28 Photos",positive,2025-01-01 05:00:00
@user September 11th taught many of us all we want to know about Islam.,neutral,2025-01-01 05:00:00
"Bright Blue skies for the Smooth Drive Home, with Fleetwood Mac, Al Green &amp; hopefully Sunday dinner leftovers in the fridge for tea!",positive,2025-01-01 06:00:00
Got to love these three dedicated days of laziness. Back to gyming it up tomorrow. Before Ant-Man.,positive,2025-01-01 06:00:00
listening to muse like crazy till i see them\u002c then straight onto evanescence and the who for november 4th\u002c sounds good,positive,2025-01-01 06:00:00
Here's a screenshot of Tommy's 1st conversation with Big Brother inside the confession room! #PBBTommy @user,positive,2025-01-01 07:00:00
I've got the shitternet tonight... No stream. Hopefully tomorrow will be gucci. Sorry guys!,positive,2025-01-01 07:00:00
Seabuiscuit just ran by.. must be warming up for the Kentucky Derby  tomorrow... we need to set fire to Adele right meow @user,neutral,2025-01-01 07:00:00
Look out for the Goon tape by Rocket droppin tomorrow and Underdogs Do Win by Yung Brodee I got beats on both this shit don\u2019t stop! #wescoas,neutral,2025-01-01 08:00:00
"@user haha """"the thing is good sir, tomorrow Caitlyn Jenner will be a woman, but you will still be an idiot.""""",negative,2025-01-01 08:00:00
Can't wait to see Amy Schumer with @user tomorrow!,positive,2025-01-01 09:00:00
"@user @user  People playing it already on PS3 or PS4, may still be using @user 4: Community Test Environment (BF4:CTE).""",neutral,2025-01-01 09:00:00
"""Could the #Aggies get more conservative on offense? Would be hard. Turn it over on 4th-and-1 at ASU's 20, misusing Murray for second time.""",negative,2025-01-01 09:00:00
"""David Wright is retired in the 7th inning on a nice play up the middle, now 2-4 on the night for St.Lucie.""",neutral,2025-01-01 10:00:00
Hawks game tomorrow... I\u2019m fuckin wit it,positive,2025-01-01 10:00:00
"""Alaskan musher, 25, youngest to win Iditarod: Dallas Seavey won the Iditarod Trail Sled Dog Race on Tuesday even...",positive,2025-01-01 10:00:00
